🇭🇰二队长精品,#genre#

凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰香港,http://php.17186.eu.org/phtv/fhxg.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv

澳门莲花,https://p.ggiptv.com/v/macaulotustv.php#http://anren.live/HK/BiIOU11uLA.m3u8

澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8#https://pi.0472.org/tv/aoya.php?auth=231013#https://pi.0472.org/tv/aoya.php?auth=2310201855

TVB翡翠台,https://pi.0472.org/tv/fct.php?auth=231110#http://r.jdshipin.com/62WM7#http://r.jdshipin.com/qClQf
翡翠台2,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
TVB J2,http://r.jdshipin.com/Nr5jq
TVB明珠台,https://pi.0472.org/tv/mzt.php?auth=231110
TVB星河,http://113.117.74.12:8081/hls/135/index.m3u8
http://113.117.74.28:8081/hls/136/index.m3u8
TVB星河,http://103.45.68.47:666/gy/gy292/xsj.php?id=tvb-xinghe

TVB娱乐新闻,http://103.45.68.47:666/gy/gy292/xsj.php?id=TVB ylxw
TVB亚洲剧,http://103.45.68.47:666/gy/gy292/xsj.php?id=tvb-asia-drama
TVB华语剧,http://103.45.68.47:666/gy/gy292/xsj.php?id=tvb-drama


RTHK-31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTHK-32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0&hq
无线新闻,http://103.45.68.47:666/gy/gy292/xsj.php?id=tvb-news#http://103.45.68.47:666/gy/gy292/TVB.php?id=2
无线新闻,http://r.jdshipin.com/CkuBd#http://line.gofast-tv.me:80/play/live.php?mac=00:1A:79:6F:5A:5D&stream=153399&extension=ts&play_token=mad8wXPonE#http://198.16.100.90:8278/inews_twn/playlist.m3u8?tid=MF7F8784108987841089&ct=19225&tsum=50d719a9ed62cc070153963585e6d9d3http://103.45.68.47/gy/gy863/TVB.php?id=2#http://103.45.68.47/gy/gy863/TVB.php?id=4
无线财经,http://103.45.68.47:666/gy/gy292/xsj.php?id=tvb-finance#http://103.45.68.47:666/gy/gy292/TVB.php?id=6
无线财经,http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxNR4FqM3EgPoN7yqNVDCIzY/ts#http://198.16.100.90:8278/tvbcaijing_twn/playlist.m3u8?tid=MD3D9552893795528937&ct=19254&tsum=77d4c2db4fa7537d7dd3eb19f933526d#http://103.45.68.47/gy/gy863/TVB.php?id=6


龙华电影,http://103.45.68.47:666/gy/gy292/xsj.php?id=ltv-movies

三立台湾台,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1#https://ktpremium.com:443/M919HR/5577/877052?c=台湾#http://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664042391~exp=9007200918783382~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=29538a1877a3c3728afe61bcd55b5a7b98f517bb3e2c75f8433b9338fda5b3e3
三立都会台,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686#http://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664042191~exp=9007200918783182~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=957e95920f87270a35afde9e5bd3d25c96af4c19596f0f2cc44ff968b89165c1
天映频道📛,http://210.210.155.37/dr9445/h/h14/index.m3u8




🇲🇴澳广视-测试,#genre#
澳视澳门91台,https://pi.0472.org/tv/asam.php?auth=231013#http://61.244.22.5/ch1/ch1.live/playelist.m3u8#http://so.zuiaishiting.com/worldlive/?ch=aHR0cDovLzYxLjI0NC4yMi41L2NoMS9jaDEubGl2ZS9wbGF5bGlzdC5tM3U4#https://live4.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳视萄语92台,http://61.244.22.5/ch2/ch2.live/playelist.m3u8
澳门体育93台,http://so.zuiaishiting.com/worldlive/?ch=aHR0cDovLzYxLjI0NC4yMi41L2NoNC9zcG9ydF9jaDQubGl2ZS9wbGF5bGlzdC5tM3U4
澳门资讯94台,http://61.244.22.5/ch5/info_ch5.live/index.m3u8#https://so.zuiai.tv/worldlive/?ch=aHR0cDovLzYxLjI0NC4yMi41L2NoNS9pbmZvX2NoNS5saXZlL3BsYXlsaXN0Lm0zdTg=
澳门综艺95台,http://61.244.22.5/ch6/hd_ch6.live/playelist.m3u8#http://61.244.22.5/ch6/_definst_/hd_ch6.live/chunklist_w477071589.m3u8#https://so.zuiai.tv/worldlive/?ch=aHR0cDovLzYxLjI0NC4yMi41L2NoNi9oZF9jaDYubGl2ZS9wbGF5bGlzdC5tM3U4
澳门Macau96台,http://61.244.22.5/ch3/ch3.live/playelist.m3u8#https://so.zuiai.tv/worldlive/?ch=aHR0cDovLzYxLjI0NC4yMi41L2NoMy9jaDMubGl2ZS9wbGF5bGlzdC5tM3U4

央视V6,#genre#
CCTV-1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-17,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8
CGTN英语,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001058/index.m3u8
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
文化精品,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
央视台球,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
央视高网,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
